name,iCliff,iCliff_no_AC,iCliff_AC,n,n_no_AC,n_AC
CHEMBL218_EC50_fp,0.024782541474421424,0.015618391629716738,0.06829210635093388,1031,884,147
CHEMBL264_Ki_fp,0.023523992848620973,0.013632760930521784,0.023309506185160006,2862,1908,954
CHEMBL2971_Ki_fp,0.04229223935688444,0.035115254390831054,0.052759194589888335,976,784,192
CHEMBL238_Ki_fp,0.027687713321295247,0.019212933211864517,0.06604121383864363,1052,916,136
CHEMBL228_Ki_fp,0.030398188884434654,0.02197113083347964,0.038678939775099876,1704,1396,308
CHEMBL219_Ki_fp,0.026135080570944748,0.01394934633259221,0.04065752870825082,1859,1353,506
CHEMBL214_Ki_fp,0.029035426331077724,0.017817402888645553,0.036989032673557444,3317,2590,727
CHEMBL2047_EC50_fp,0.023925489708904537,0.017072923117545064,0.08039981593533477,631,560,71
CHEMBL233_Ki_fp,0.03214707643389753,0.020469464932701496,0.048015903827951734,3142,2425,717
CHEMBL4005_Ki_fp,0.02960430821474078,0.020454291364123942,0.04505259093546244,960,757,203
CHEMBL2835_Ki_fp,0.03566208242557714,0.034047193371101674,0.022367303141845988,615,431,184
CHEMBL287_Ki_fp,0.027959737612516633,0.019791180375191182,0.041531890863127,1328,1069,259
CHEMBL231_Ki_fp,0.034331563010503656,0.025553308135949946,0.07086198086901545,973,856,117
CHEMBL2034_Ki_fp,0.034221861701310016,0.02951010221818034,0.04043055570958159,750,611,139
CHEMBL237_EC50_fp,0.03607630844855161,0.026227542591987712,0.06957082069712159,955,763,192
CHEMBL4616_EC50_fp,0.026231688803001155,0.0182146782314558,0.03968620928597404,682,568,114
CHEMBL239_EC50_fp,0.029379738025466274,0.01982299616562418,0.08283245287775437,1721,1460,261
CHEMBL4203_Ki_fp,0.024920620470249632,0.017350727471058577,0.09477475936620615,731,664,67
CHEMBL262_Ki_fp,0.02541092330917697,0.01793449645518491,0.08583645565086978,856,768,88
CHEMBL236_Ki_fp,0.0385106170256424,0.02648433103567248,0.07674907815484686,2598,2125,473
CHEMBL244_Ki_fp,0.04704298633512433,0.03502692550480213,0.1009505276369169,3097,2561,536
CHEMBL2147_Ki_fp,0.03798943138233803,0.030347541429625174,0.0609705249080196,1456,1270,186
CHEMBL237_Ki_fp,0.029618925757776204,0.017169442889660276,0.03512721925998497,2602,1967,635
CHEMBL235_EC50_fp,0.028013825029614584,0.018125482974965752,0.08556755643617146,2349,1997,352
CHEMBL3979_EC50_fp,0.0360329115913758,0.026552217663232958,0.08274160629955755,1125,970,155
CHEMBL4792_Ki_fp,0.03769099127625568,0.02530563847136664,0.10872512653775974,1471,1248,223
CHEMBL1862_Ki_fp,0.03599779623175272,0.028508217764297406,0.10440848689774997,794,716,78
CHEMBL1871_Ki_fp,0.026402838718596933,0.01704824735666863,0.04366922144017981,659,532,127
CHEMBL234_Ki_fp,0.030723127513714348,0.019945631360257475,0.02783612480907761,3657,2609,1048
CHEMBL204_Ki_fp,0.02537455127855962,0.009324688731049179,0.023212703221012303,2754,1729,1025
