name,jaccard,n_ac
CHEMBL218_EC50_fp,0.25444596443228457,367
CHEMBL264_Ki_fp,0.30100816130580893,1084
CHEMBL2971_Ki_fp,0.08695652173913043,120
CHEMBL238_Ki_fp,0.18165467625899281,263
CHEMBL228_Ki_fp,0.24026512013256007,599
CHEMBL219_Ki_fp,0.2930535455861071,715
CHEMBL214_Ki_fp,0.25360734586794925,1147
CHEMBL2047_EC50_fp,0.2697095435684647,245
CHEMBL233_Ki_fp,0.25429087624209573,1111
CHEMBL4005_Ki_fp,0.2747093023255814,351
CHEMBL2835_Ki_fp,0.19791666666666666,46
CHEMBL287_Ki_fp,0.2874583795782464,464
CHEMBL231_Ki_fp,0.1522633744855967,224
CHEMBL2034_Ki_fp,0.23655913978494625,230
CHEMBL237_EC50_fp,0.28865979381443296,400
CHEMBL4616_EC50_fp,0.4175257731958763,330
CHEMBL239_EC50_fp,0.3465045592705167,709
CHEMBL4203_Ki_fp,0.0958904109589041,64
CHEMBL262_Ki_fp,0.17210682492581603,158
CHEMBL236_Ki_fp,0.2634887375589314,965
CHEMBL244_Ki_fp,0.2940950920245399,1350
CHEMBL2147_Ki_fp,0.22672064777327935,485
CHEMBL237_Ki_fp,0.23141361256544501,941
CHEMBL235_EC50_fp,0.29149560117302054,881
CHEMBL3979_EC50_fp,0.2952275249722531,467
CHEMBL4792_Ki_fp,0.4523990860624524,763
CHEMBL1862_Ki_fp,0.2665330661322645,253
CHEMBL1871_Ki_fp,0.19148936170212766,157
CHEMBL234_Ki_fp,0.29150233058443886,1441
CHEMBL204_Ki_fp,0.23168908819133036,989
