name,iCliff,iCliff_no_AC,iCliff_AC,n,n_no_AC,n_AC
CHEMBL1871_Ki,0.026402838718596902,0.015564779880127314,0.04406818146165928,659,506,153
CHEMBL244_Ki,0.0470429863351244,0.032361263591357874,0.09382577059999829,3097,2426,671
CHEMBL4005_Ki,0.02960430821474088,0.018081360223429814,0.046401827125420174,960,709,251
CHEMBL214_Ki,0.02903542633107793,0.015886908663711778,0.03999362273651842,3317,2444,873
CHEMBL233_Ki,0.03214709628047203,0.01810080782499368,0.047623585287534846,3142,2256,886
CHEMBL264_Ki,0.023523992848621108,0.011904192544156167,0.02303140387924939,2862,1727,1135
CHEMBL234_Ki,0.030723127513714213,0.017974328925108717,0.02682282201040538,3657,2405,1252
CHEMBL204_Ki,0.025374551278559584,0.008136807808299331,0.02489004823248474,2754,1628,1126
CHEMBL2147_Ki,0.0379894313823382,0.028608965481998844,0.0496531103840778,1456,1212,244
CHEMBL237_EC50,0.03607630844855161,0.02346412473808427,0.0656089959469633,955,707,248
CHEMBL219_Ki,0.02613508057094468,0.012258615702199346,0.04160340223396756,1859,1269,590
CHEMBL2835_Ki,0.03566208242557697,0.029996498114119592,0.03192242671690002,615,340,275
CHEMBL237_Ki,0.029618951910642132,0.014793766036069586,0.034787291000262906,2602,1825,777
CHEMBL2971_Ki,0.042292239356884365,0.032429406118715066,0.045166398989178125,976,716,260
CHEMBL4616_EC50,0.02623168880300102,0.01619028956577107,0.03548205332211667,682,530,152
CHEMBL218_EC50,0.024782541474421358,0.014106582986409976,0.06508474073696804,1031,850,181
CHEMBL2034_Ki,0.03422186170130995,0.026124158796842656,0.040543319568098986,750,545,205
CHEMBL287_Ki,0.027959737612516602,0.017766403182000134,0.03968642669803221,1328,1000,328
CHEMBL236_Ki,0.038510617025642506,0.02396379557593321,0.0751097046656022,2598,2023,575
CHEMBL4203_Ki,0.024920620470249632,0.0154851344401031,0.08530951379429785,731,643,88
CHEMBL262_Ki,0.025411201624211992,0.016383231806227076,0.08080222419514989,856,746,110
CHEMBL235_EC50,0.0280140073424111,0.016073076024256085,0.07915909464550482,2349,1894,455
CHEMBL3979_EC50,0.0360358089871682,0.02304032305622775,0.07871678312572751,1125,907,218
CHEMBL238_Ki,0.02768771332129518,0.01723760579774986,0.062005641521070555,1052,873,179
CHEMBL2047_EC50,0.023925489708904537,0.015004085883546934,0.07205640292144554,631,528,103
CHEMBL231_Ki,0.03433164744086004,0.023311956284940174,0.06270105423700285,973,818,155
CHEMBL4792_Ki,0.03769190103700337,0.023028872623440402,0.10394730539807089,1471,1206,265
CHEMBL228_Ki,0.030398194558748898,0.02029335132208154,0.03500986019162551,1704,1319,385
CHEMBL1862_Ki,0.03599779623175264,0.025620460989691375,0.08616651557841362,794,674,120
CHEMBL239_EC50,0.02937973802546631,0.016908994430011415,0.07463332646148822,1721,1354,367
