name,fp,term,kt
CHEMBL1871_Ki,RDKIT,1,0.9522219188982506
CHEMBL1871_Ki,RDKIT,2,0.9745169722115659
CHEMBL1871_Ki,RDKIT,3,0.9845542889315421
CHEMBL1871_Ki,ECFP4,1,0.9895403975891909
CHEMBL1871_Ki,ECFP4,2,0.995830734934174
CHEMBL1871_Ki,ECFP4,3,0.9978351551203842
CHEMBL1871_Ki,MACCS,1,0.942658907769842
CHEMBL1871_Ki,MACCS,2,0.9682983338154342
CHEMBL1871_Ki,MACCS,3,0.9805184943197174
CHEMBL244_Ki,RDKIT,1,0.9647184693944671
CHEMBL244_Ki,RDKIT,2,0.9838059867315982
CHEMBL244_Ki,RDKIT,3,0.9916196205829663
CHEMBL244_Ki,ECFP4,1,0.9909855169453344
CHEMBL244_Ki,ECFP4,2,0.9972031797376882
CHEMBL244_Ki,ECFP4,3,0.998849344586309
CHEMBL244_Ki,MACCS,1,0.9362272280506568
CHEMBL244_Ki,MACCS,2,0.9646619876434461
CHEMBL244_Ki,MACCS,3,0.9786819111869837
CHEMBL4005_Ki,RDKIT,1,0.9412577248637113
CHEMBL4005_Ki,RDKIT,2,0.9670387699809911
CHEMBL4005_Ki,RDKIT,3,0.9795875149976765
CHEMBL4005_Ki,ECFP4,1,0.9857458880938035
CHEMBL4005_Ki,ECFP4,2,0.994100167190067
CHEMBL4005_Ki,ECFP4,3,0.9970558002298472
CHEMBL4005_Ki,MACCS,1,0.9260947571714314
CHEMBL4005_Ki,MACCS,2,0.9561650751787689
CHEMBL4005_Ki,MACCS,3,0.9717327532223287
CHEMBL214_Ki,RDKIT,1,0.9737265241841218
CHEMBL214_Ki,RDKIT,2,0.9894492405356794
CHEMBL214_Ki,RDKIT,3,0.9952422523343808
CHEMBL214_Ki,ECFP4,1,0.9908558665534599
CHEMBL214_Ki,ECFP4,2,0.9973561983968228
CHEMBL214_Ki,ECFP4,3,0.9990292690918592
CHEMBL214_Ki,MACCS,1,0.9245651717618487
CHEMBL214_Ki,MACCS,2,0.9567046362261752
CHEMBL214_Ki,MACCS,3,0.9733166414556361
CHEMBL233_Ki,RDKIT,1,0.9500147683662965
CHEMBL233_Ki,RDKIT,2,0.9728685700161891
CHEMBL233_Ki,RDKIT,3,0.9833250562812754
CHEMBL233_Ki,ECFP4,1,0.9911247503282611
CHEMBL233_Ki,ECFP4,2,0.9972111640581885
CHEMBL233_Ki,ECFP4,3,0.998834435240371
CHEMBL233_Ki,MACCS,1,0.9276820516830809
CHEMBL233_Ki,MACCS,2,0.9591366142891352
CHEMBL233_Ki,MACCS,3,0.9751757641918498
CHEMBL264_Ki,RDKIT,1,0.9825711868186634
CHEMBL264_Ki,RDKIT,2,0.9935476346731882
CHEMBL264_Ki,RDKIT,3,0.9971379032879882
CHEMBL264_Ki,ECFP4,1,0.9905953023707147
CHEMBL264_Ki,ECFP4,2,0.9970685398703637
CHEMBL264_Ki,ECFP4,3,0.9988456632253085
CHEMBL264_Ki,MACCS,1,0.9309223339563648
CHEMBL264_Ki,MACCS,2,0.9606110883270843
CHEMBL264_Ki,MACCS,3,0.9758912572618516
CHEMBL234_Ki,RDKIT,1,0.9758894866900674
CHEMBL234_Ki,RDKIT,2,0.9903952585919306
CHEMBL234_Ki,RDKIT,3,0.9956451418686398
CHEMBL234_Ki,ECFP4,1,0.9901160598815875
CHEMBL234_Ki,ECFP4,2,0.9968729400699771
CHEMBL234_Ki,ECFP4,3,0.9987567610200732
